id,disasterType,startDate,cleansdate,endDate,cleanedate,lat,lon,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions
114,Extreme Weather,1/25/1974 0:00,1/25/1974,04/01/1974,4/01/1974,-27.47084808,153.0234222,,,,14,68000000,,,,,,,,,,,,New South Wales
114,Extreme Weather,1/25/1974 0:00,1/25/1974,04/01/1974,4/01/1974,-27.47084808,153.0234222,,,,14,68000000,,,,,,,,,,,,South Australia
114,Extreme Weather,1/25/1974 0:00,1/25/1974,04/01/1974,4/01/1974,-27.47084808,153.0234222,,,,14,68000000,,,,,,,,,,,,Victoria
116,Other ,2/15/2001 0:00,2/15/2001,2/17/2001 0:00,2/17/2001,-31.89971161,116.0260544,100,,130,,,,,,,,,,,,,,Western Australia
117,Extreme Weather,12/26/1999 0:00,12/26/1999,12/28/1999 0:00,12/28/1999,-37.73792267,144.9650879,,100,,,10000000,,,,,,,,,,,,Victoria
118,Extreme Weather,8/31/1996 0:00,8/31/1996,8/31/1996 0:00,8/31/1996,-34.23423004,150.9191895,,,,,10000000,,,,,,,,,,,,New South Wales
119,Industrial ,2/15/1937 0:00,2/15/1937,2/15/1937 0:00,2/15/1937,-38.60572815,145.5885315,,,,13,,,,,,,,,,,,,Victoria
120,Transport ,02/01/2001,02/01/2001,02/01/2001,2/01/2001,-35.08058548,150.526001,,,35,1,,,,,,1,2,,,,,,New South Wales
121,Transport ,3/13/1974 0:00,3/13/1974,3/13/1974 0:00,3/13/1974,-33.89827728,150.994812,,,,4,,,,,,,,,,,,,New South Wales
122,Extreme Weather,12/23/1990 0:00,12/23/1990,01/07/1991,1/07/1991,-18.16151047,139.9163818,,,,6,32000000,,,,,,,,,,,,Queensland
123,Bushfire ,9/29/1917 0:00,9/29/1917,9/29/1917 0:00,9/29/1917,-20.82608414,144.2017365,,,,3,,,,,,,,,,,,,Queensland
124,Industrial ,11/13/1901 0:00,11/13/1901,11/13/1901 0:00,11/13/1901,-32.97655487,151.7085724,,,,3,,,,,,,,,,,,,New South Wales
125,Bushfire ,01/01/1906,01/01/1906,2/15/1906 0:00,2/15/1906,-38.60105896,146.3005219,,,,12,,,,,,,,,,,,,Victoria
126,Shipwreck ,12/07/1866 00:00:00,12/07/1866,12/07/1866 00:00:00,12/07/1866,-33.2800293,151.6387939,,,,62,,,,,,,,,,,,,New South Wales
127,Extreme Weather,02/05/2000,02/05/2000,2/28/2000 0:00,2/28/2000,-16.92339897,145.7738495,,,10,,12000000,,,,,,,,,,,,Queensland
128,Extreme Weather,12/24/1971 0:00,12/24/1971,12/27/1971 0:00,12/27/1971,-19.25200272,146.8206024,,,25,3,25000000,1000,,,,,,,,,,,Queensland
129,Bushfire ,10/26/1951 0:00,10/26/1951,1/31/1952 0:00,1/31/1952,-35.11680222,147.3616333,,,,13,,,,,,,,,,,10000,,New South Wales
130,Extreme Weather,03/12/1934,03/12/1934,3/13/1934 0:00,3/13/1934,-16.07979584,145.4644775,,,,75,,,,,,,,,,,,,Queensland
131,Bushfire ,2/16/1983 0:00,2/16/1983,2/18/1983 0:00,2/18/1983,-37.40233612,144.5871124,,9000,1500,75,176000000,,2000,,,,,,,,30000,,Victoria
131,Bushfire ,2/16/1983 0:00,2/16/1983,2/18/1983 0:00,2/18/1983,-37.40233612,144.5871124,,9000,1500,75,176000000,,2000,,,,,,,,30000,,South Australia
